suite_id,aug_id,initial_size,augmented_size,n_tests_added,cov_ADC_initial_%,cov_STMT_initial_%,cov_STMT_augmented_%,fault_revealed
22,2,9,12,3,100.0,96.17,100.0,False
22,3,9,13,4,100.0,96.17,100.0,False
22,4,9,13,4,100.0,96.17,100.0,False
22,5,9,12,3,100.0,96.17,100.0,False
22,6,9,12,3,100.0,96.17,100.0,False
22,7,9,13,4,100.0,96.17,100.0,False
22,8,9,13,4,100.0,96.17,100.0,False
22,9,9,12,3,100.0,96.17,100.0,False
22,10,9,13,4,100.0,96.17,100.0,False
23,1,9,13,4,100.0,95.08,100.0,False
23,2,9,13,4,100.0,95.08,100.0,False
23,3,9,13,4,100.0,95.08,100.0,True
23,4,9,13,4,100.0,95.08,100.0,False
23,5,9,13,4,100.0,95.08,100.0,False
23,6,9,13,4,100.0,95.08,100.0,False
23,7,9,13,4,100.0,95.08,100.0,True
23,8,9,13,4,100.0,95.08,100.0,False
23,9,9,13,4,100.0,95.08,100.0,False
23,10,9,13,4,100.0,95.08,100.0,False
24,1,9,12,3,100.0,96.72,100.0,False
24,2,9,12,3,100.0,96.72,100.0,False
24,3,9,12,3,100.0,96.72,100.0,False
24,4,9,12,3,100.0,96.72,100.0,False
24,5,9,12,3,100.0,96.72,100.0,False
24,6,9,12,3,100.0,96.72,100.0,False
24,7,9,12,3,100.0,96.72,100.0,False
24,8,9,12,3,100.0,96.72,100.0,False
24,9,9,12,3,100.0,96.72,100.0,False
24,10,9,12,3,100.0,96.72,100.0,False
25,1,9,12,3,100.0,96.72,100.0,False
25,2,9,12,3,100.0,96.72,100.0,False
25,3,9,12,3,100.0,96.72,100.0,False
25,4,9,12,3,100.0,96.72,100.0,False
25,5,9,12,3,100.0,96.72,100.0,False
25,6,9,12,3,100.0,96.72,100.0,False
25,7,9,12,3,100.0,96.72,100.0,False
25,8,9,12,3,100.0,96.72,100.0,False
25,9,9,12,3,100.0,96.72,100.0,False
25,10,9,12,3,100.0,96.72,100.0,False
26,1,9,13,4,100.0,95.63,100.0,False
26,2,9,13,4,100.0,95.63,100.0,False
26,3,9,13,4,100.0,95.63,100.0,False
26,4,9,13,4,100.0,95.63,100.0,False
